PRIORITY,ID_2MASS,RA_DEG,DEC_DEG,EPOCH,H_MAG,H_MAG_SOURCE,PM_RA,PM_DEC,PM_SOURCE,TYPE,APOGEE_COMMENT,AT1,AT2,AT3,APOGEE_COMMENT2
HIGH,J18564257-3028449,284.17740,-30.47920,2000.0,11.967,2MASS,-0.713,-4.851,HSOY,STAR,McDonald2012;Majewski2013;RRVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18540714-3039195,283.52980,-30.65540,2000.0,10.833,2MASS,-5.655,0.377,HSOY,STAR,McDonald2012;Majewski2013;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18540261-3027479,283.51090,-30.46330,2000.0,10.980,2MASS,23.147,-15.453,HSOY,STAR,McDonald2012;Majewski2013;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18540563-3051301,283.52350,-30.85840,2000.0,11.100,2MASS,-0.314,-5.226,HSOY,STAR,McDonald2012;Majewski2013;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18540699-3048441,283.52920,-30.81230,2000.0,11.298,2MASS,-15.398,-4.033,HSOY,STAR,McDonald2012;Majewski2013;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18530891-3043498,283.28710,-30.73050,2000.0,11.449,2MASS,-0.755,-1.302,HSOY,STAR,McDonald2012;Majewski2013;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18554193-3018417,283.92470,-30.31160,2000.0,11.156,2MASS,2.817,-5.700,HSOY,STAR,McDonald2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18541729-3034343,283.57200,-30.57620,2000.0,11.290,2MASS,13.220,4.886,HSOY,STAR,McDonald2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18545532-3048383,283.73050,-30.81070,2000.0,11.326,2MASS,-0.513,5.698,HSOY,STAR,McDonald2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18543030-3043207,283.62630,-30.72240,2000.0,11.615,2MASS,0.000,0.000,None,STAR,McDonald2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18561204-3028225,284.05020,-30.47290,2000.0,11.619,2MASS,14.861,1.851,HSOY,STAR,McDonald2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18573312-3037339,284.38800,-30.62610,2000.0,11.630,2MASS,-7.933,1.982,HSOY,STAR,McDonald2012;RVVAR_TARG,26,-0,-0,RRVAR_TARG
HIGH,J18562230-3030428,284.09290,-30.51190,2000.0,11.742,2MASS,-0.887,-4.049,HSOY,STAR,McDonald2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18564778-3040306,284.19910,-30.67520,2000.0,11.993,2MASS,0.577,3.934,HSOY,STAR,McDonald2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18545512-3014562,283.72970,-30.24890,2000.0,12.197,2MASS,-12.869,5.443,HSOY,STAR,McDonald2012;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18550290-3024498,283.76212,-30.41384,2000.0,11.764,2MASS,-6.318,-7.571,HSOY,STAR,Mucciarelli2017;RVVAR_TARG,26,-0,-0,RVVAR_TARG
HIGH,J18564929-3049066,284.20540,-30.81852,2000.0,12.187,12.187,0.000,0.000,None,STAR,RVVAR_TARG,26,-0,-0,RVVAR_TARG
NaN,J18543064-3009372,283.62750,-30.16028,2000.0,11.010,2MASS,-0.700,-0.500,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18584878-3105156,284.70333,-31.08750,2000.0,11.037,2MASS,-0.200,-3.900,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18585209-3053278,284.71708,-30.89083,2000.0,11.037,2MASS,-2.500,-1.700,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18564215-3134441,284.17583,-31.57889,2000.0,11.092,2MASS,-1.400,2.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18571350-3026020,284.30625,-30.43389,2000.0,11.099,2MASS,-2.100,-0.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18584256-3042288,284.67750,-30.70778,2000.0,11.106,2MASS,-3.600,1.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18551008-3115193,283.79208,-31.25528,2000.0,11.108,2MASS,2.800,0.900,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18592930-3137285,284.87208,-31.62444,2000.0,11.131,2MASS,-3.400,0.000,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18572138-3100230,284.33875,-31.00639,2000.0,11.204,2MASS,-7.100,2.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18564956-3123100,284.20667,-31.38611,2000.0,11.214,2MASS,0.100,1.000,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18590832-3047224,284.78458,-30.78944,2000.0,11.216,2MASS,-8.800,-0.700,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18552229-3025322,283.84292,-30.42556,2000.0,11.232,2MASS,-0.200,1.800,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18534451-3042206,283.43542,-30.70556,2000.0,11.251,2MASS,-2.900,0.900,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18560814-3129382,284.03375,-31.49389,2000.0,11.268,2MASS,-3.500,0.000,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18570035-3151281,284.25167,-31.85778,2000.0,11.275,2MASS,-1.600,1.000,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18592174-3134284,284.84042,-31.57444,2000.0,11.278,2MASS,-1.000,2.400,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18530914-3047251,283.28792,-30.79028,2000.0,11.298,2MASS,-2.400,0.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18545612-3101476,283.73375,-31.02972,2000.0,11.299,2MASS,-3.300,-1.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18572224-3141167,284.34250,-31.68778,2000.0,11.321,2MASS,-1.500,0.700,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18563348-3109418,284.13958,-31.16139,2000.0,11.339,2MASS,2.500,-0.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18561672-3120001,284.06958,-31.33333,2000.0,11.370,2MASS,-2.200,2.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18533027-3054295,283.37625,-30.90806,2000.0,11.372,2MASS,-2.400,-2.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18551026-3033406,283.79292,-30.56111,2000.0,11.388,2MASS,-1.800,1.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18580502-3025203,284.52083,-30.42222,2000.0,11.416,2MASS,-2.300,2.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18570265-3135145,284.26125,-31.58722,2000.0,11.432,2MASS,-0.100,0.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18583778-3055567,284.65750,-30.93222,2000.0,11.450,2MASS,-2.400,2.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18554845-3014274,283.95208,-30.24083,2000.0,11.452,2MASS,-0.100,0.900,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18585609-3140205,284.73375,-31.67222,2000.0,11.494,2MASS,-0.500,2.000,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18572694-3109244,284.36208,-31.15667,2000.0,11.499,2MASS,-0.900,0.800,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18571226-3054336,284.30125,-30.90917,2000.0,11.516,2MASS,-1.200,-0.900,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18542483-3108007,283.60333,-31.13333,2000.0,11.517,2MASS,6.200,-0.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18572549-3053071,284.35625,-30.88528,2000.0,11.521,2MASS,-1.200,-1.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18592487-3022588,284.85375,-30.38278,2000.0,11.529,2MASS,0.600,-2.600,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18551440-3028130,283.81000,-30.47028,2000.0,11.533,2MASS,0.600,-1.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18530240-3139374,283.26000,-31.66028,2000.0,11.563,2MASS,-2.200,-2.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18595687-3118038,284.98708,-31.30083,2000.0,11.565,2MASS,-2.200,-1.000,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18561017-3124288,284.04208,-31.40778,2000.0,11.585,2MASS,-1.700,-2.900,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18533986-3015563,283.41625,-30.26556,2000.0,11.589,2MASS,-2.800,0.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18574046-3018384,284.41875,-30.31056,2000.0,11.592,2MASS,2.100,-2.700,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18531180-3012159,283.29917,-30.20444,2000.0,11.595,2MASS,-2.400,-0.800,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
